Protein stable ID	RefSeq mRNA ID
ENSP00000241453	NM_004119
ENSP00000364550	NM_004187
ENSP00000373700	NM_004304
ENSP00000303507	NM_004327
ENSP00000288602	NM_004333
ENSP00000261769	NM_004360
ENSP00000262367	NM_004380
ENSP00000273854	NM_004439
ENSP00000358309	NM_004440
ENSP00000381097	NM_004441
ENSP00000443562	NM_004448
ENSP00000320147	NM_004456
ENSP00000404845	NM_004570
ENSP00000417132	NM_004656
ENSP00000447378	NM_004668
ENSP00000354558	NM_004958
ENSP00000371067	NM_004972
ENSP00000222254	NM_005027
ENSP00000333125	NM_005120
ENSP00000323315	NM_005157
ENSP00000264033	NM_005188
ENSP00000286301	NM_005211
ENSP00000263620	NM_005224
ENSP00000275493	NM_005228
ENSP00000337451	NM_005233
ENSP00000342235	NM_005235
ENSP00000406229	NM_005245
ENSP00000341551	NM_005359
ENSP00000361548	NM_005373
ENSP00000281043	NM_005378
ENSP00000345492	NM_005475
ENSP00000249373	NM_005631
ENSP00000372689	NM_005862
ENSP00000260985	NM_005896
ENSP00000382423	NM_005921
ENSP00000320485	NM_006015
ENSP00000380252	NM_006164
ENSP00000305556	NM_006196
ENSP00000257290	NM_006206
ENSP00000263967	NM_006218
ENSP00000323421	NM_006306
ENSP00000268712	NM_006311
ENSP00000348551	NM_006312
ENSP00000264010	NM_006565
ENSP00000400717	NM_006572
ENSP00000291552	NM_006758
ENSP00000329178	NM_007194
ENSP00000350283	NM_007294
ENSP00000335321	NM_012433
ENSP00000293328	NM_012448
ENSP00000344544	NM_012481
ENSP00000386759	NM_014159
ENSP00000324804	NM_014225
ENSP00000222270	NM_014727
ENSP00000366997	NM_014953
ENSP00000458663	NM_015125
ENSP00000364839	NM_015338
ENSP00000374212	NM_015409
ENSP00000282030	NM_015559
ENSP00000429084	NM_015902
ENSP00000350844	NM_016734
ENSP00000277541	NM_017617
ENSP00000462764	NM_017763
ENSP00000337250	NM_018263
ENSP00000378307	NM_018313
ENSP00000266517	NM_018638
ENSP00000344546	NM_020732
ENSP00000347942	NM_020975
ENSP00000367203	NM_021140
ENSP00000437775	NM_021946
ENSP00000370979	NM_022148
ENSP00000324375	NM_022552
ENSP00000333188	NM_023067
ENSP00000256646	NM_024408
ENSP00000331327	NM_024426
ENSP00000356405	NM_024529
ENSP00000259008	NM_032043
ENSP00000279873	NM_032199
ENSP00000380150	NM_032415
ENSP00000329097	NM_032458
ENSP00000345681	NM_032638
ENSP00000287647	NM_033084
ENSP00000256078	NM_033360
ENSP00000281708	NM_033632
ENSP00000360826	NM_078626
ENSP00000264657	NM_139276
ENSP00000386869	NM_144993
ENSP00000329117	NM_152424
ENSP00000335044	NM_152641
ENSP00000349959	NM_152756
ENSP00000389715	NM_173598
ENSP00000322957	NM_177990
ENSP00000370697	NM_178129
ENSP00000428056	NM_181523
ENSP00000292535	NM_181552
ENSP00000432907	NM_182962
ENSP00000362680	NM_198291
ENSP00000171111	NM_203500
ENSP00000351410	NM_212471
